idcess,idtercmplx,priort,idoeuv,datdbtsys,datfinsys
25009482,43064981,200,154842647,2015-11-04 00:00:00.000000,
25052737,43108365,200,154886513,2015-11-07 00:00:00.000000,
25214129,43630108,200,158623374,2015-11-24 00:00:00.000000,
25373715,44511415,200,165217134,2015-12-15 00:00:00.000000,
27914950,63175931,200,329355679,2016-11-18 00:00:00.000000,
33251338,103426979,200,678279320,2018-10-12 00:00:00.000000,
38018551,127024448,200,860955151,2019-09-20 00:00:00.000000,
58651835,163418263,300,1461623283,2023-06-06 00:00:00.000000,
58699879,163468101,300,1461659356,2023-06-07 00:00:00.000000,
62999408,167813581,300,1574532731,2024-03-20 00:00:00.000000,
63547534,168365959,300,1586175639,2024-04-23 00:00:00.000000,
63564025,168383016,300,1586192137,2024-04-24 00:00:00.000000,
63658576,168478432,300,1586285846,2024-05-02 00:00:00.000000,
