idoeuv,cdestatutoeuv,paysori,cdegreoeuv,ide12,datdepot,datcre,datdbtsys,datfinsys,toreindex,datmaj,datmajtech,publierevt
154842647,000,2044,XY,2974081211,,2015-11-03 00:00:00.000000,1850-01-01 00:00:00.000000,2015-11-06 00:00:00.000000,0,,2022-11-28 15:46:09.000000,0
154886513,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2015-11-23 00:00:00.000000,0,,2022-11-28 15:46:09.000000,0
158623374,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2015-11-23 00:00:00.000000,2015-12-14 00:00:00.000000,0,,2022-11-28 15:46:09.000000,0
165217134,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2015-12-14 00:00:00.000000,2016-11-17 00:00:00.000000,0,,2022-11-28 15:46:09.000000,0
329355679,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2016-11-17 00:00:00.000000,2018-10-11 00:00:00.000000,0,2018-04-20 00:00:00.000000,2022-11-28 15:46:09.000000,0
678279320,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2018-10-11 00:00:00.000000,2019-09-19 00:00:00.000000,0,2019-07-01 00:00:00.000000,2022-11-28 15:46:09.000000,0
860955151,000,840,ML,2974081211,2015-11-06 00:00:00.000000,2015-11-06 00:00:00.000000,2019-09-19 00:00:00.000000,,0,2023-05-11 00:00:00.000000,2023-10-27 15:40:15.000000,0
1461623283,000,840,ML,5239458111,2023-06-01 00:00:00.000000,2023-06-06 00:00:00.000000,1850-01-01 00:00:00.000000,2023-06-07 00:00:00.000000,0,2023-06-07 00:00:00.000000,2023-06-07 00:00:00.000000,0
1461659356,000,840,ML,5239458111,2023-06-01 00:00:00.000000,2023-06-06 00:00:00.000000,2023-06-07 00:00:00.000000,2024-03-20 00:00:00.000000,0,2024-03-20 00:00:00.000000,2024-03-20 00:00:00.000000,0
1574532731,000,840,ML,5239458111,2023-06-01 00:00:00.000000,2023-06-06 00:00:00.000000,2024-03-20 00:00:00.000000,,0,2024-03-22 00:00:00.000000,2024-03-22 00:00:00.000000,0
1586175639,000,840,ML,111015968567,2024-04-23 00:00:00.000000,2024-04-23 00:00:00.000000,1850-01-01 00:00:00.000000,2024-04-24 00:00:00.000000,0,2024-04-24 00:00:00.000000,2024-04-24 00:00:00.000000,0
1586192137,000,840,ML,111015968567,2024-04-23 00:00:00.000000,2024-04-23 00:00:00.000000,2024-04-24 00:00:00.000000,2024-05-02 00:00:00.000000,0,2024-05-02 00:00:00.000000,2024-05-02 00:00:00.000000,0
1586285846,000,826,ML,111015968567,2024-04-23 00:00:00.000000,2024-04-23 00:00:00.000000,2024-05-02 00:00:00.000000,,0,2024-05-02 00:00:00.000000,2024-05-02 00:00:00.000000,0
