idrestctr,cdegreoeuv
1613883,RT
1613884,LP
1613885,DI
1613886,BH
1613887,LR
1613888,BL
1613889,LY
1613890,JZ
1613891,MA
1613892,MB
1613893,OF
1613894,MF
1613895,MI
1613896,ML
1613897,IJ
1613898,ST
1613899,MT
1613900,CM
1613901,TD
1613902,AR
1613903,PA
1613904,RE
1613905,HA
1613906,TM
1613907,TO
1613908,TP
1613909,DB
1613910,LJ
1613911,TS
1613912,VV
1613913,XY
1956660,RT
1956661,LP
1956662,DI
1956663,BH
1956664,LR
1956665,BL
1956666,LY
1956667,JZ
1956668,MA
1956669,MB
1956670,OF
1956671,ME
1956672,MF
1956673,MI
1956674,ML
1956675,IJ
1956676,ST
1956677,MO
1956678,MS
1956679,MT
1956680,CM
1956682,TD
1956683,AR
1956684,PA
1956685,RE
1956686,HA
1956687,TM
1956688,TO
1956689,TP
1956690,DB
1956691,LJ
1956692,TS
1956693,VV
1956694,XY
3092123,RE
3092111,MI
3092124,HA
3092128,TP
3092119,TD
3092099,DI
3092118,CM
3092112,ML
3092109,ME
3092130,LJ
3092114,ST
3092116,MS
3092102,BL
3092133,XY
3092113,IJ
3092129,DB
3092103,LY
3092115,MO
3092117,MT
3092098,LP
3092122,PA
3092107,MB
3092104,JZ
3092106,MA
3092121,AR
3092132,VV
3092100,BH
3092131,TS
3092125,TM
3092127,TO
3092110,MF
3092108,OF
3092101,LR
3092097,RT
