idrestctr,numpers,numcatal,cdeexignc
179932,339801,37641,STRICTE
353916,468319,251157,STRICTE
1260943,183615,87104,INFO
1260944,183792,217500,INFO
1269239,183615,87104,INFO
1269240,183792,217500,INFO
1306970,183615,87104,INFO
1306971,183792,217500,INFO
7874783,183615,87104,INFO
7874784,183792,217500,INFO
7945577,183615,87104,INFO
7945578,183792,217500,INFO
15901660,749577,750324,NONSTRICTE
3092126,384668,499580,NONSTRICTE
3092105,27986,263589,NONSTRICTE
1124827,313307,424335,STRICTE
363495,670864,667100,STRICTE
3092120,392855,45236,NONSTRICTE
1124824,313306,228878,STRICTE
363497,650696,649394,STRICTE
113577,313307,424335,INFO
113576,313306,228878,INFO
8259600,743955,744464,NONSTRICTE
1183267,743955,744464,STRICTE
1183265,743454,743962,STRICTE
8259599,743454,743962,NONSTRICTE

